original_proximity,filtered_proximity,slip,task_failure
735.34,735.96,0.0,0.0
734.8,735.96,0.0,0.0
736.38,735.96,0.0,0.0
735.63,735.96,0.0,0.0
735.89,735.96,0.0,0.0
735.97,735.95,0.0,0.0
737.16,735.95,0.0,0.0
735.1,735.95,0.0,0.0
735.76,735.94,0.0,0.0
736.35,735.95,0.0,0.0
736.38,735.95,0.0,0.0
737.46,735.97,0.0,0.0
735.49,735.98,0.0,0.0
736.13,736.0,0.0,0.0
733.46,736.02,0.0,0.0
735.86,736.05,0.0,0.0
734.75,736.07,0.0,0.0
736.92,736.09,0.0,0.0
735.69,736.12,0.0,0.0
736.08,736.14,0.0,0.0
735.86,736.17,0.0,0.0
736.86,736.18,0.0,0.0
735.81,736.19,0.0,0.0
737.09,736.2,0.0,0.0
735.86,736.21,0.0,0.0
738.06,736.21,0.0,0.0
740.41,736.2,0.0,0.0
733.98,736.2,0.0,0.0
737.19,736.19,0.0,0.0
735.6,736.17,0.0,0.0
736.94,736.16,0.0,0.0
734.85,736.14,0.0,0.0
735.54,736.12,0.0,0.0
735.83,736.1,0.0,0.0
736.18,736.08,0.0,0.0
736.15,736.05,0.0,0.0
734.62,736.03,0.0,0.0
735.68,736.01,0.0,0.0
735.04,735.99,0.0,0.0
735.26,735.97,0.0,0.0
736.2,735.96,0.0,0.0
736.19,735.95,0.0,0.0
736.26,735.95,0.0,0.0
736.21,735.95,0.0,0.0
735.51,735.95,0.0,0.0
736.37,735.96,0.0,0.0
737.33,735.97,0.0,0.0
736.09,735.98,0.0,0.0
736.52,735.99,0.0,0.0
735.2,736.0,0.0,0.0
736.31,736.0,0.0,0.0
735.8,736.01,0.0,0.0
735.89,736.01,0.0,0.0
735.59,736.01,0.0,0.0
736.12,736.0,0.0,0.0
736.11,736.0,0.0,0.0
736.24,735.99,0.0,0.0
735.41,735.97,0.0,0.0
736.58,735.96,0.0,0.0
735.49,735.94,0.0,0.0
736.6,735.92,0.0,0.0
735.51,735.9,0.0,0.0
736.16,735.88,0.0,0.0
736.4,735.86,0.0,0.0
734.52,735.84,0.0,0.0
736.58,735.81,0.0,0.0
736.16,735.8,0.0,0.0
735.87,735.78,0.0,0.0
735.78,735.76,0.0,0.0
735.25,735.75,0.0,0.0
734.93,735.74,0.0,0.0
736.16,735.73,0.0,0.0
735.58,735.73,0.0,0.0
735.46,735.72,0.0,0.0
734.82,735.72,0.0,0.0
735.87,735.72,0.0,0.0
736.06,735.73,0.0,0.0
735.46,735.73,0.0,0.0
736.43,735.74,0.0,0.0
734.48,735.74,0.0,0.0
735.45,735.75,0.0,0.0
735.7,735.76,0.0,0.0
736.31,735.76,0.0,0.0
736.38,735.77,0.0,0.0
735.98,735.77,0.0,0.0
736.33,735.78,0.0,0.0
736.29,735.78,0.0,0.0
736.4,735.79,0.0,0.0
735.71,735.79,0.0,0.0
736.06,735.79,0.0,0.0
734.68,735.79,0.0,0.0
736.42,735.79,0.0,0.0
734.79,735.78,0.0,0.0
736.11,735.78,0.0,0.0
734.95,735.77,0.0,0.0
735.8,735.77,0.0,0.0
735.04,735.76,0.0,0.0
737.37,735.76,0.0,0.0
733.84,735.75,0.0,0.0
737.11,735.74,0.0,0.0
734.84,735.73,0.0,0.0
736.56,735.72,0.0,0.0
735.86,735.72,0.0,0.0
736.27,735.71,0.0,0.0
735.34,735.7,0.0,0.0
735.53,735.7,0.0,0.0
735.59,735.7,0.0,0.0
736.5,735.7,0.0,0.0
735.97,735.7,0.0,0.0
734.96,735.7,0.0,0.0
736.14,735.7,0.0,0.0
735.16,735.71,0.0,0.0
735.88,735.71,0.0,0.0
734.91,735.72,0.0,0.0
735.47,735.72,0.0,0.0
734.03,735.73,0.0,0.0
737.74,735.74,0.0,0.0
734.69,735.75,0.0,0.0
736.6,735.76,0.0,0.0
735.2,735.77,0.0,0.0
735.3,735.78,0.0,0.0
736.93,735.79,0.0,0.0
736.34,735.8,0.0,0.0
735.55,735.81,0.0,0.0
